Date,종가,수익률,거래량,is_anomaly
2019-11-04,24809,0.0142681929681112,5859728,0
2019-11-05,24978,0.0068120440162844,6043311,0
2019-11-06,24990,0.0004804227720394,11036082,0
2019-11-07,24958,-0.0012805122048819,6658870,0
2019-11-08,24873,-0.0034057216123086,5762037,0
2019-11-11,24684,-0.007598600892534,7405059,0
2019-11-12,24902,0.0088316318262842,6906587,0
2019-11-13,24700,-0.0081117982491366,5282625,0
2019-11-14,24897,0.0079757085020242,5010597,0
2019-11-15,25251,0.0142185805518737,6256030,0
2019-11-18,25223,-0.0011088669755653,5492299,0
2019-11-19,25111,-0.0044403917059826,4811009,0
2019-11-20,24788,-0.0128628887738441,6121779,0
2019-11-21,24423,-0.0147248668710666,7345159,0
2019-11-22,24541,0.0048315112803505,5604861,0
2019-11-25,24814,0.0111242410659713,5836799,0
2019-11-26,24819,0.0002014991537035,5852797,0
2019-11-27,24845,0.0010475845118658,5225325,0
2019-11-28,24734,-0.0044676997383779,4964598,0
2019-11-29,24309,-0.0171828252607746,5645435,0
2019-12-02,24388,0.0032498251676333,6866131,0
2019-12-03,24265,-0.0050434639986878,4347483,0
2019-12-04,24103,-0.0066762827117247,5333342,0
2019-12-05,24046,-0.002364850848442,6058243,0
2019-12-06,24326,0.0116443483323629,8265211,0
2019-12-09,24437,0.0045630189920249,8299609,0
2019-12-10,24558,0.0049515079592421,6468299,0
2019-12-11,24656,0.0039905529766268,6301823,0
2019-12-12,25104,0.0181700194678779,7770386,0
2019-12-13,25495,0.0155752071383046,8101882,0
2019-12-16,25486,-0.0003530103941948,5803196,0
2019-12-17,25836,0.0137330298987679,11482913,0
2019-12-18,25832,-0.0001548227279765,7292021,0
2019-12-19,25856,0.0009290802105914,7472076,0
2019-12-20,25913,0.0022045173267326,8027822,0
2019-12-23,25910,-0.0001157720063288,7881351,0
2019-12-24,25744,-0.0064067927441142,6010720,0
2019-12-26,25848,0.0040397762585457,4525195,0
2019-12-27,26226,0.0146239554317548,6028449,0
2019-12-30,26134,-0.0035079691908792,8238496,0
2020-01-02,25856,-0.0106374837376597,5201565,0
2020-01-03,25852,-0.000154702970297,8619970,0
2020-01-06,25657,-0.007542936716695,6258208,0
2020-01-07,25913,0.0099777838406671,6009913,0
2020-01-08,25749,-0.0063288696793115,6941148,0
2020-01-09,26179,0.0166996776573846,4966890,0
2020-01-10,26395,0.0082508881164291,11196426,0
2020-01-13,26667,0.0103049820041674,5820058,0
2020-01-14,26792,0.0046874414069824,6487557,0
2020-01-15,26634,-0.0058972827709764,5304539,0
2020-01-16,26907,0.0102500563189906,7060997,0
2020-01-17,26967,0.0022299029992194,13049444,0
2020-01-20,27173,0.0076389661438054,6503729,0
2020-01-21,26867,-0.0112611783755933,6538824,0
